Blue Spring Ride,"Sakisaka, Io","Sakisaka, Io",Tokyopop,abgeschlossen,13,13,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx54294-Nabu5Ag0L2ay.jpg,,
Blütenträume,"Wormsbecher, Natalie","Wormsbecher, Natalie",Schwarzer Turm,abgeschlossen,1,1,de,Shojo,"https://images-na.ssl-images-amazon.com/images/I/61TGwZ1sI6L._SX328_BO1,204,203,200_.jpg",,
Boku no Hatsukoi o Kimi ni Sasagu,"Aoki, Kotomi","Aoki, Kotomi",Flower Comics,abgeschlossen,12,5,jp,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/4207-xfRM0pk4fV8g.png,,
Boku wa Imoto ni Koi o Suru,"Aoki, Kotomi","Aoki, Kotomi",Flower Comics,abgeschlossen,10,1,jp,Shojo,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/819.jpg,,
Boruto,"Kodachi, Ukyou","Ikemoto, Mikio",Carlsen,laufend,,5,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/87178-9iLMAk6ZMvQV.png,,
Café Liebe,Miman,Miman,Tokyopop,laufend,,3,de,Yuri,https://www.tokyopop.de/manga/media/image/8b/85/bd/cafe-liebe-cover-01_250x374.jpg,,
Can You Hear Me?,Otsuichi,"Kiyohara, Kizu",Egmont,abgeschlossen,1,1,de,Drama,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/11438.jpg,,
Card Captor Sakura,CLAMP,CLAMP,Egmont,abgeschlossen,12,12,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/106-eQ9g0cZNQ8ZZ.png,,
Card Captor Sakura Clear Card,CLAMP,CLAMP,Egmont,,,5,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx87296-4HLEXxFNZyKg.jpg,,
Cause I Love You,CLAMP,CLAMP,Egmont,abgeschlossen,3,1,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/538.jpg,,
Cells at Work,,,,,,1,de,,,,
Charmin Junkie,"Fukuyama, Ryoco","Fukuyama, Ryoco",Carlsen,abgeschlossen,16,1,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/164.jpg,,
Cheeky Vampire,,,Carlsen,,,1,de,Comedy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx30387-pd6AJLcrbOhK.jpg,,
Cherry Juice,,,Tokyopop,abgeschlossen,4,4,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/165.jpg,,
